"Source:","C:\HDA_Courses\Sem2\SDHD\Labor\LabProject\40_Implementation\10_HW\XX_PCB_template\10_work\80_ProjectFiles\Lab1_SDHD\Lab1_SDHD.kicad_sch"
"Date:","26-04-2023 19:15:29"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","39"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"J11","1","Conn_01x03_Socket","Conn_01x03_Socket","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Horizontal","Generic connector, single row, 01x03, script generated","",""
"LED1","1","Power_Led","LED","LED_THT:LED_D5.0mm","Light emitting diode","",""
"LED2","1","Green_Led","LED","LED_THT:LED_D5.0mm","Light emitting diode","",""
"LED3","1","Orange_Led","LED","LED_THT:LED_D5.0mm","Light emitting diode","",""
"LED4","1","Red_Led","LED","LED_THT:LED_D5.0mm","Light emitting diode","",""
"P1","1","Power","Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"P2","1","Digital/PWM","Conn_01x10","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"P3","1","Analog","Conn_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"P4","1","Digital/PWM","Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"R1, R2","2","1k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R3","1","2.2k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R4","1","220k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R5","1","33k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R6","1","100k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R7","1","100","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R8, R9, R10, R11","4","470","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"SW1","1","SW_Push","SW_Push","Button_Switch_THT:SW_PUSH_6mm_H7.3mm","Push button switch, generic, two pins","",""
"U1, U2","2","OPA340P","OPA340P","Package_DIP:DIP-8_W7.62mm","Single Single-Supply, Rail-to-Rail Operational Amplifier, MicroAmplifier Series, DIP-8","",""
